Småortskod 
 	Småort_Beteckning 
(Namn) 	Typ 
  	Landareal 
hektar 	Folkmängd  
2010.12.31 	Fritidshusomr 
andel 	Kommun 
Namn 	Kommun
kod
S0417	Lillström	-	41.77	87	0.76	Österåker	0117
S0419	Lillängsdal	-	23.88	80	0.99	Värmdö	0120
S0421	Linanäs	-	95.8	176	0.83	Österåker	0117
S0423	Lund	-	10.73	67	0	Järfälla	0123
S0425	Lingsberg	-	15.69	70	0	Vallentuna	0115
S0427	Lissma norra och Kvarntorp	-	34.4	91	0.85	Huddinge	0126
S0428	Ljumstaberg	Ny	6.94	61	0	Södertälje	0181
S0431	Lunda	-	10.99	98	0	Ekerö	0125
S0433	Lundby	-	4.11	58	0	Nynäshamn	0192
S0441	Malsta	-	27.68	90	0	Norrtälje	0188
S0443	Långvik	-	61.61	52	0.91	Värmdö	0120
S0447	Malmen och Kolbotten	-	76.63	181	0.99	Haninge	0136
S0449	Husinge (västra delen)	-	37.6	65	0	Norrtälje	0188
S0451	Västernäs	-	96.12	77	0.74	Österåker	0117
S0455	Mellansjö + Dragboda	-	22.89	82	0	Österåker	0117
S0456	Mellansjö Gropgärdet	Ny	2.78	70	0	Österåker	0117
S0457	Munsö	-	19.98	126	0	Ekerö	0125
S0459	Lövsättra	-	6.63	87	0	Vallentuna	0115
S0461	Mörby	-	30.73	143	0	Ekerö	0125
S0462	Mörbytorp	Ny	9.81	50	0	Vallentuna	0115
S0463	Stav + Mildensborg (norra delen)	-	6.57	59	0	Haninge	0136
S0465	Mörtviken	-	41.45	127	0.93	Värmdö	0120
S0467	Nabbo	-	189.52	107	0.78	Norrtälje	0188
S0469	Ytterjärna	-	28.11	64	0	Södertälje	0181
S0471	Skogsbrynsbyn och Ulvåsa	-	8.52	174	0	Södertälje	0181
S0472	Skogstorp	Ny	9.56	53	0	Haninge	0136
S0475	Norrbacka	-	18.37	60	0	Österåker	0117
S0477	Norrvrå	-	11.4	118	0	Södertälje	0181
S0479	Nibble+Ösby	-	8.22	55	0	Norrtälje	0188
