TO_kod
 	Tätort_Namn
 	Typ
 	Folkmängd_2010
 	Folkmängd_2005
 	Förändring
 	Inv_km2
 	Landareal_ha
 	Kommun_Namn
 	KnKod
 
T6900	Äppelbo	T	258	261	-3	250	103	Vansbro	2021
T6912	Östnor	T	534	523	11	427	125	Mora	2062
T6920	Persbo	T	344	343	1	263	131	Ludvika	2085
T7400	Alby	T	367	403	-36	297	124	Ånge	2260
T7402	Klingsta och Allsta	T	342	305	37	502	68	Sundsvall	2281
T7404	Vi	T	4997	4757	240	1452	344	Sundsvall	2281
T7408	Ankarsvik	T	944	882	62	558	169	Sundsvall	2281
T7412	Arnäsvall	T	341	345	-4	409	83	Örnsköldsvik	2284
T7416	Bergeforsen	T	1563	1535	28	788	198	Timrå	2262
T7420	Billsta	T	361	378	-17	337	107	Örnsköldsvik	2284
T7424	Bjästa	T	1808	1785	23	882	205	Örnsköldsvik	2284
T7428	Björna	T	413	431	-18	610	68	Örnsköldsvik	2284
T7432	Bollstabruk	T	1871	2118	-247	422	444	Kramfors	2282
T7444	Bredbyn	T	1186	1227	-41	506	234	Örnsköldsvik	2284
T7446	Dingersjö	T	856	906	-50	1392	61	Sundsvall	2281
T7448	Docksta	T	378	414	-36	475	80	Kramfors	2282
T7460	Essvik	T	752	818	-66	632	119	Sundsvall	2281
T7462	Fanbyn	T	526	569	-43	376	140	Sundsvall	2281
T7468	Frånö	T	640	679	-39	259	248	Kramfors	2282
T7472	Fränsta	T	1256	1243	13	546	230	Ånge	2260
T7476	Gideå	T	266	270	-4	495	54	Örnsköldsvik	2284
T7478	Gustavsberg	T	254	235	19	548	46	Sundsvall	2281
T7480	Gimåt	T	903	870	33	1438	63	Örnsköldsvik	2284
